     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,        67,         0,   0.078,pymatching,eeff7909a45f633b1549104f9d4425b895dd5ffdc7a9ebe0561f506fb2752de9,"{""d"":3,""p"":0.001}",
     10000,       178,         0,   0.064,pymatching,c66220c74aa5ddee3e92663492f1801c8d92a5d664b5f44504abdb55809dd46c,"{""d"":3,""p"":0.0016681005372000592}",
     10000,       508,         0,   0.046,pymatching,1a05c99b38e0afc6d55ae822f0f5cd918b1d2cf9f26508fdb7f84468ab7b7970,"{""d"":3,""p"":0.0027825594022071257}",
     10000,      1178,         0,   0.123,pymatching,c97792935e2dad054d695d8a76344fa8add9a12090a23ca122defda799d66028,"{""d"":3,""p"":0.004641588833612777}",
     10000,      2390,         0,   0.124,pymatching,288c2ceeee5a63435d14e26812427cdeb6df4e65d443c9d4b28088154c98a747,"{""d"":3,""p"":0.007742636826811269}",
     10000,      3798,         0,   0.172,pymatching,4ebb80822b798f212ff3d5be1c9d9596a92ed1184f65d17f8686711513942e35,"{""d"":3,""p"":0.01291549665014884}",
     10000,      4848,         0,   0.296,pymatching,fbc78412e98e9663e4212f1aa50037d7a39419b6efbb946e46c300860e0cf01b,"{""d"":3,""p"":0.021544346900318832}",
     10000,      5035,         0,   0.484,pymatching,78c2d6ef46ea09faab82e2cb046e3c40d1579e88d2df3d796c6bdb622cb9ab1c,"{""d"":3,""p"":0.03593813663804626}",
     10000,      5023,         0,   0.578,pymatching,cec01a67fcd8384427a86315a72e3fa43c6f845b464cd01525098455ae6d0b41,"{""d"":3,""p"":0.05994842503189409}",
     10000,      4999,         0,   0.673,pymatching,4dff41ec0312f5dc026156226497bd3b0f4fbfaa6c3fe26d365e4b5f23b45ef5,"{""d"":3,""p"":0.1}",
     10000,        19,         0,   0.373,pymatching,1fb51f1967a8f0a5ee3642cc113e7a7d77217e82598577169d9b65a285e1b5c1,"{""d"":5,""p"":0.001}",
     10000,        93,         0,   0.374,pymatching,4391bdd403680ed10a6e122f05bbedb6cb2c6bb6711bfe97396c5644263c2fab,"{""d"":5,""p"":0.0016681005372000592}",
     10000,       375,         0,   0.454,pymatching,960910dc6b0f6b5857da65500b35380be656e74ca0d9771cc78afdba96a784f8,"{""d"":5,""p"":0.0027825594022071257}",
     10000,      1162,         0,   0.909,pymatching,6f0ee8b0108fd1ddae47fc1080ea78c49d779694db429400eb8b543a6dac8988,"{""d"":5,""p"":0.004641588833612777}",
     10000,      3195,         0,   0.813,pymatching,622b8d7f3b589dd228babb064ff90d3a96ce2d8705c399804fd6e40b6aca7730,"{""d"":5,""p"":0.007742636826811269}",
     10000,      4839,         0,    1.55,pymatching,2236ce8089d53a606ba8599043514fd671903241c6dac4a880027f94f22adceb,"{""d"":5,""p"":0.01291549665014884}",
     10000,      5002,         0,    1.91,pymatching,8e293ad87af9a5b63244958086cb799ef625871e33d0c346f7ac2a25b4e53b44,"{""d"":5,""p"":0.021544346900318832}",
     10000,      5037,         0,    3.27,pymatching,11799039d3f662ab1bcd863ec78b9eb7048660e7936367365660925b344e944e,"{""d"":5,""p"":0.03593813663804626}",
     10000,      5025,         0,    3.55,pymatching,38220a860d66969b3d1a4e7af9aa1066337b26aae1e05262463b682d74e8fa5a,"{""d"":5,""p"":0.05994842503189409}",
     10000,      4957,         0,    5.14,pymatching,4af073ddb91759295cf6476a46ac04e8f96c30abcd60eba96153bd4f3ebb1183,"{""d"":5,""p"":0.1}",
